Country,People using safely managed drinking water services % of population 2017,People using safely managed sanitation services % of population 2017,Access to electricity % of population 2017,Renewable energy consumption % of total final energy consumption 2015_x,Expenditures for R&D % of GDP 2015,Urban population living in slums % of urban population 2014,Ambient PM2.5 air pollution mean annual exposure micrograms per cubic meter 2016,Adjusted net savings % of GNI 2017,Carbon dioxide emissions per capita metric tons 2014_x,Nationally protected terrestrial and marine areas % of total territorial area 2018,"Intentional homicides Combined source estimates per 100,000 people 2015",Internet use Individuals using the Internet % of population 2017,Rural population % of total 2000,Rural population % of total 2018,Rural population growth (annual %)  2018,Land area sq. km thousands 2016,Land use Forest area % of land area 2000,Land use Forest area % of land area 2016,Land use Permanent cropland % of land area 2000,Land use Permanent cropland % of land area 2016,Land use Arable land % of land area 2000,Land use Arable land % of land area 2016,Arable land hectares per person 2000,Arable land hectares per person 2016,Access to electricity % of population 2000,Access to electricity % of population 2016,Access to electricity % of urban population 2016,Access to electricity % of rural population 2016,Access to clean fuels and technologies for cooking % of population 2000,Access to clean fuels and technologies for cooking % of population 2016,Renewable energy consumption % of total final energy consumption 2000,Renewable energy consumption % of total final energy consumption 2015_y,Renewable electricity output % of total electricity output 2000,Renewable electricity output % of total electricity output 2015,Agricultural land % of land area 2000-02,Agricultural land % of land area 2014-16,Agricultural land % irrigated 2014-16,Average annual precipitation millimeters 2014,Land under cereal production hectares thousands 2000-02,Land under cereal production hectares thousands 2014-16,Fertilizer consumption % of fertilizer production 2014-16,Fertilizer consumption kilograms per hectare of arable land 2014-16,Agricultural employment % of total employment 2000-02,Agricultural employment % of total employment 2014-16,Agricultural machinery tractors per 100 sq. km of arable land 2000,Agricultural machinery tractors per 100 sq. km of arable land 2009,Exposure to impact Land area where elevation is below 5 meters % of land area 2010,Exposure to impact Population living in areas where elevation is below 5 meters % of total population 2010,"Exposure to impact Population affected by droughts, floods, and extreme temperatures average annual; % of total population 2009",Exposure to impact Urban land area where elevation is below 5 meters % of urban land area 2010,Exposure to impact Rural population living in areas where elevation is below 5 meters % of rural population 2010,Exposure to impact Rural land area where elevation is below 5 meters % of rural land area 2010,Exposure to impact Urban population living in areas where elevation is below 5 meters % of urban population 2010,"Resilience Disaster risk reduction progress score 1, worst to 5,best 2011",Net energy imports % of energy use 1990,Net energy imports % of energy use 2015,GDP per unit of energy use 2011 PPP $ per kilogram of oil equivalent 1990,GDP per unit of energy use 2011 PPP $ per kilogram of oil equivalent 2015,Carbon dioxide emissions Total thousand metric tons 1990,Carbon dioxide emissions Total thousand metric tons 2014,Carbon dioxide emissions Carbon intensity kilograms per kilograms of oil equivalent energy use 1990,Carbon dioxide emissions Carbon intensity kilograms per kilograms of oil equivalent energy use 2014,Carbon dioxide emissions per capita metric tons 1990,Carbon dioxide emissions per capita metric tons 2014_y,Carbon dioxide emissions kilograms per 2011 PPP $ of GDP 1990,Carbon dioxide emissions kilograms per 2011 PPP $ of GDP 2014,Annual freshwater withdrawals Flows billion cu. m 2014,Annual freshwater withdrawals billion cu. m 2014,Annual freshwater withdrawals % of internal resources 2014,Annual freshwater withdrawals % for agriculture 2015,Annual freshwater withdrawals % for industry 2014,Water productivity % of domestic 2015,People using at least basic drinking water services GDP/water use 2010 $ per cu. m 2015,People using at least basic drinking water services Urban % of urban population 2018,People using at least basic drinking water services Rural % of Rural population 2018,Total greenhouse gas emissions thousand metric tons of carbon dioxide equivalent 2012,Total greenhouse gas emissions % change 1990-2012,Methane emissions thousand metric tons of carbon dioxide equivalent 2012,Methane emissions % change 1990-2012,Methane emissions From energy processes % of total 2008,Methane emissions Agricultural % of total 2008,Nitrous oxide emissions thousand metric tons of carbon dioxide equivalent 2012,Nitrous oxide emissions % change 1990-2012,Nitrous oxide emissions From energy processes % of total 2008,Nitrous oxide emissions Agricultural % of total 2008,Other greenhouse gas emissions thousand metric tons of carbon dioxide equivalent 2012,Other greenhouse gas emissions % change 1990-2012,Health expenditure Current % of GDP 2016,Health expenditure Public % of current 2016,Health expenditure Out of pocket % of current 2016,Health expenditure per capita $ 2016,Health expenditure per capita current PPP $ 2016,External health expenditure (% of current health expenditure)  2016,"Health workers Physicians per 1,000 people 2009-18","Health workers Nurses and midwives per 1,000 people 2009-18","Specialist surgical workforce per 100,000 population 2008-18",Completeness of birth registration % 2009-18,Completeness of death registration % 2008-16,"Incidence of tuberculosis per 100,000 people 2018",output
Afghanistan,79.07499999999999,68.34255319148937,97.7,18.4,0.8568,62.7,56.3,2.7,0.3,0.1,10.0,13.5,78.0,75.0,2.1,652.9,2.1,2.1,0.1,0.3,11.8,11.8,0.37,0.22,75.34093264248705,97.7,99.5,97.1,8.8,32.4,54.2,18.4,75.0,86.1,58.0,58.0,6.5,327.0,278.22336448598134,260.49223300970874,590.1,12.2,63.5,38.8,0.1,0.1,4.993181818181818,7.268750000000001,1.1,1.018181818181818,3.460227272727273,3.9755681818181823,3.805113636363636,3.2987951807228924,-29.218045112781954,-16.47142857142857,9.469655172413793,9.64963503649635,339.6545454545454,405.780487804878,2.3329113924050633,2.135,0.2,0.3,0.32500000000000007,0.2,47.2,24.320143884892087,48.766666666666666,48.22330097087379,19.7984496124031,28.303030303030305,55.86915887850467,95.9,57.3,381.29999999999995,43.5,152.66666666666666,80.4,8.2,62.7,221.65217391304347,24.6,6.0,71.3,109.12765957446808,118.1,10.2,5.1,77.4,57.2,162.8,17.5,0.3,0.3,0.0,42.3,89.30934579439251,189.0,1
Albania,70.0,39.9,100.0,38.6,0.8568,45.734939759036145,18.2,8.2,2.0,13.5,2.8,71.8,58.0,40.0,-2.6,27.4,28.1,28.1,4.4,3.0,21.1,22.6,0.19,0.22,100.0,100.0,100.0,100.0,39.8,77.4,41.4,38.6,96.1,100.0,42.0,43.0,19.6,480.17894736842106,157.6,148.1,145.89054054054054,126.1,45.9,39.8,139.9,121.9,4.9,7.1,5.3,0.3,4.7,4.6,2.4,3.2987951807228924,8.0,14.0,5.5,13.2,339.6545454545454,405.780487804878,2.1,2.4,1.7,2.0,0.4,0.2,26.9,1.3,4.9,39.0,18.0,43.0,7.0,91.8,89.9,381.29999999999995,-19.9,152.66666666666666,3.8,25.8,65.0,221.65217391304347,-26.5,6.2,80.6,900.0,-75.0,6.7,41.4,58.0,271.5,759.7,0.7,1.2,3.6,11.6,98.4,53.0,18.0,0
Algeria,79.07499999999999,17.7,100.0,0.1,0.5,45.734939759036145,39.9,21.2,3.7,7.1,1.4,47.7,40.0,27.0,-0.1,171.07621621621624,0.7,0.8,0.2,0.4,3.2,3.1,0.25,0.18,75.34093264248705,100.0,100.0,100.0,86.5,92.6,0.4,0.1,0.2,0.3,17.0,17.0,2.8,89.0,278.22336448598134,260.49223300970874,8.2,22.3,21.7,8.3,124.9,139.6,0.0,0.8,0.0,0.0,0.2,0.0,0.6,3.5,-351.0,-177.0,12.0,10.2,339.6545454545454,405.780487804878,3.5,2.8,3.0,3.7,0.3,0.3,11.3,7.8,69.4,59.0,5.0,36.0,22.0,95.4,88.7,381.29999999999995,65.8,152.66666666666666,50.2,79.4,10.0,221.65217391304347,49.9,7.2,53.9,109.12765957446808,202.7,6.6,67.7,30.9,260.4,998.2,0.0,1.8,2.2,12.1,100.0,89.30934579439251,69.0,0
American Samoa,12.6,68.34255319148937,85.4330188679245,0.9,0.8568,45.734939759036145,12.4,6.700680272108843,4.882758620689655,8.7,7.2,55.16731707317073,11.0,13.0,-0.1,0.2,90.2,87.5,11.5,9.5,12.5,15.0,0.04,0.05,75.34093264248705,84.65141509433963,92.62264150943396,78.58443396226416,55.68989361702128,64.84840425531915,0.0,0.9,0.0,0.9,23.0,25.0,10.086792452830188,480.17894736842106,278.22336448598134,260.49223300970874,145.89054054054054,141.3229299363057,31.26096256684492,25.916042780748665,68.0,107.8,3.6,3.3,0.0,1.4,1.3,2.2,2.0,3.2987951807228924,-29.218045112781954,-16.47142857142857,9.469655172413793,9.64963503649635,339.6545454545454,405.780487804878,2.3329113924050633,2.135,4.579274611398964,4.905940594059406,0.32500000000000007,0.2513089005235602,96.0655172413793,24.320143884892087,48.766666666666666,48.22330097087379,19.7984496124031,28.303030303030305,55.86915887850467,94.19885057471264,80.00595238095238,58.8,188.3,13.0,48.3,0.0,24.8,24.0,25.64776119402985,0.0,99.2,0.0,433.3,6.71505376344086,52.91505376344085,32.66182795698925,262.8720588235294,386.33181818181816,9.116766467065869,1.7232804232804235,4.139153439153439,37.93714285714286,84.20245398773007,89.30934579439251,0.0,0
Andorra,90.6,100.0,100.0,19.7,0.8568,45.734939759036145,10.3,6.700680272108843,5.8,26.7,0.0,91.6,8.0,12.0,0.7,0.5,34.0,34.0,4.659375,4.519587628865979,2.1,1.7,0.02,0.01,100.0,100.0,100.0,100.0,100.0,100.0,14.9,19.7,100.0,86.1,49.0,40.0,10.086792452830188,480.17894736842106,278.22336448598134,260.49223300970874,145.89054054054054,141.3229299363057,31.26096256684492,25.916042780748665,207.31297709923663,194.94313725490193,4.993181818181818,7.268750000000001,1.1714285714285713,1.018181818181818,3.460227272727273,3.9755681818181823,3.805113636363636,3.2987951807228924,-29.218045112781954,-16.47142857142857,9.469655172413793,9.64963503649635,407.0,462.0,2.3329113924050633,2.135,7.5,5.8,0.32500000000000007,0.2513089005235602,0.3,24.320143884892087,48.766666666666666,48.22330097087379,19.7984496124031,28.303030303030305,55.86915887850467,100.0,100.0,381.29999999999995,71.66397849462365,152.66666666666666,37.1445,25.91094527363184,42.623880597014924,0.0,0.0,0.0,0.0,109.12765957446808,80.69254658385093,10.4,49.1,41.7,262.8720588235294,386.33181818181816,9.116766467065869,3.3,4.0,83.1,100.0,80.0,3.0,0
Angola,79.07499999999999,68.34255319148937,41.9,49.6,0.0,55.5,31.8,-16.3,1.3,5.0,4.8,14.3,50.0,34.0,1.3,171.07621621621624,47.9,46.3,0.2,0.2,2.4,3.9,0.18,0.17,20.0,40.6,70.8,0.0,37.3,48.1,74.6,49.6,63.1,53.2,46.0,47.0,10.086792452830188,480.17894736842106,278.22336448598134,260.49223300970874,145.89054054054054,8.0,37.0,49.4,207.31297709923663,194.94313725490193,0.1,1.4,1.0,0.0,0.2,0.1,1.2,3.2987951807228924,-387.0,-541.0,9.6,12.5,339.6545454545454,405.780487804878,0.9,2.4,0.4,1.3,0.1,0.2,148.0,0.7,0.5,48.22330097087379,34.0,28.303030303030305,55.86915887850467,71.2,27.4,381.29999999999995,-18.0,152.66666666666666,-14.0,63.8,23.0,221.65217391304347,-79.5,6.0,81.3,109.12765957446808,80.69254658385093,2.9,44.1,35.2,95.2,185.8,3.6,0.2,1.3,37.93714285714286,25.0,89.30934579439251,355.0,1
Antigua and Barbuda,79.07499999999999,68.34255319148937,100.0,0.0,0.8568,45.734939759036145,18.5,6.700680272108843,5.7,0.3,10.3,76.0,68.0,75.0,1.0,0.4,22.7,22.3,2.3,2.3,9.1,9.1,0.05,0.04,100.0,100.0,100.0,100.0,96.7,98.8,0.0,0.0,0.0,0.0,20.0,20.0,10.086792452830188,480.17894736842106,0.0,0.0,145.89054054054054,13.9,31.26096256684492,25.916042780748665,207.31297709923663,194.94313725490193,13.2,11.8,1.1714285714285713,5.8,3.2,7.5,8.6,2.8,-29.218045112781954,-16.47142857142857,11.0,9.64963503649635,282.0,532.0,2.9,2.135,4.5,5.7,0.3,0.3,0.1,0.0,8.5,16.0,22.0,63.0,265.0,94.19885057471264,80.00595238095238,552.7,48.5,43.0,21.9,2.8,61.4,26.0,54.5,12.6,51.3,111.0,80.69254658385093,4.3,60.6,32.2,623.1,976.4,0.0,2.8,3.1,14.0,84.20245398773007,79.0,6.0,0
Argentina,79.07499999999999,68.34255319148937,100.0,10.0,0.6,16.7,13.8,5.4,4.8,7.4,6.5,74.3,11.0,8.0,-0.5,171.07621621621624,11.6,9.8,0.4,0.4,10.1,14.3,0.75,0.9,95.5,100.0,100.0,99.7,94.8,98.4,11.1,10.0,33.2,28.1,47.0,54.0,10.086792452830188,591.0,278.22336448598134,260.49223300970874,256.6,50.3,1.0,0.1,89.6,87.7,0.9,3.0,0.2,0.1,1.0,0.8,2.1,3.3,-5.0,13.0,8.1,9.3,339.6545454545454,405.780487804878,2.4,2.4,3.4,4.8,0.3,0.3,292.0,37.7,12.9,74.0,11.0,15.0,12.0,99.6,93.0,381.29999999999995,42.7,152.66666666666666,-13.3,17.7,73.5,221.65217391304347,37.9,3.1,90.6,109.12765957446808,100.5,7.5,74.4,15.8,955.2,386.33181818181816,0.6,4.0,2.6,50.1,100.0,100.0,27.0,0
Armenia,86.5,48.2,100.0,15.8,0.3,14.4,32.2,1.5,1.9,23.1,2.6,64.7,35.0,37.0,0.1,28.5,11.7,11.7,1.3,2.0,15.8,15.7,0.15,0.15,98.9,100.0,100.0,100.0,82.0,96.9,7.2,15.8,21.2,28.3,49.0,59.0,9.2,562.0,184.9,194.7,145.89054054054054,110.5,38.8,33.6,291.6,291.6,4.993181818181818,7.268750000000001,0.5,1.018181818181818,3.460227272727273,3.9755681818181823,3.805113636363636,3.0,98.0,71.0,1.7,7.8,339.6545454545454,405.780487804878,1.4,1.9,1.7,1.9,0.9,0.2,6.9,3.3,42.9,90.0,4.0,6.0,4.0,99.9,100.0,381.29999999999995,-50.2,152.66666666666666,18.5,55.4,35.9,221.65217391304347,27.0,3.2,81.1,109.12765957446808,511.5,9.9,16.5,80.6,358.8,876.9,1.7,2.9,5.6,86.7,99.3,76.0,31.0,0
Aruba,79.07499999999999,68.34255319148937,100.0,6.7,0.8568,45.734939759036145,26.96649484536082,6.700680272108843,8.4,0.1,1.9,97.2,53.0,57.0,0.2,0.2,2.3,2.3,4.659375,4.519587628865979,11.1,11.1,0.02,0.02,91.7,100.0,100.0,100.0,55.68989361702128,64.84840425531915,0.2,6.7,0.0,14.9,11.0,11.0,10.086792452830188,480.17894736842106,278.22336448598134,260.49223300970874,145.89054054054054,141.3229299363057,31.26096256684492,25.916042780748665,207.31297709923663,194.94313725490193,7.1,7.1,1.1714285714285713,4.7,2.4,2.4,4.7,3.2987951807228924,-29.218045112781954,-16.47142857142857,9.469655172413793,9.64963503649635,339.6545454545454,873.0,2.3329113924050633,2.135,26.4,8.4,0.7,0.2,96.0655172413793,24.320143884892087,48.766666666666666,48.22330097087379,19.7984496124031,28.303030303030305,55.86915887850467,94.19885057471264,80.00595238095238,381.29999999999995,71.66397849462365,23.0,52.8,6.4,3.7,6.0,-45.1,36.5,13.0,109.12765957446808,-33.3,6.71505376344086,52.91505376344085,32.66182795698925,262.8720588235294,386.33181818181816,9.116766467065869,1.7232804232804235,4.139153439153439,37.93714285714286,84.20245398773007,89.30934579439251,5.0,0
Australia,79.07499999999999,75.6,100.0,9.2,1.9,45.734939759036145,8.6,5.6,15.4,29.7,1.0,86.5,16.0,14.0,0.8,171.07621621621624,16.8,16.3,0.0,0.0,6.2,6.0,2.47,1.9,100.0,100.0,100.0,100.0,100.0,100.0,8.4,9.2,8.4,13.6,58.0,48.0,0.6,534.0,278.22336448598134,260.49223300970874,222.1,68.1,4.4,2.6,207.31297709923663,194.94313725490193,0.6,4.5,3.0,0.0,0.9,0.6,3.6,4.0,-82.0,-190.0,5.7,8.0,339.6545454545454,405.780487804878,3.1,2.9,15.5,15.4,0.5,0.4,492.0,16.8,3.1,61.0,16.0,23.0,78.0,100.0,100.0,381.29999999999995,57.9,152.66666666666666,9.1,32.0,56.8,221.65217391304347,-13.7,6.6,81.0,109.12765957446808,483.5,9.3,68.3,18.9,262.8720588235294,386.33181818181816,0.0,3.6,12.7,45.1,100.0,100.0,7.0,0
Austria,98.9,96.7,100.0,34.4,3.0,45.734939759036145,12.6,14.1,6.9,28.4,0.5,87.9,40.0,42.0,0.1,82.5,46.5,46.9,0.9,0.8,16.9,16.3,0.17,0.15,100.0,100.0,100.0,100.0,100.0,100.0,26.4,34.4,72.5,76.5,35.0,32.0,1.4,480.17894736842106,816.8,787.0,145.89054054054054,141.8,5.8,4.3,207.31297709923663,194.94313725490193,4.993181818181818,7.268750000000001,0.0,1.018181818181818,3.460227272727273,3.9755681818181823,3.805113636363636,3.2987951807228924,67.0,64.0,9.7,11.6,339.6545454545454,405.780487804878,2.3,1.8,7.5,6.9,0.2,0.2,55.0,3.5,6.3,2.0,77.0,21.0,112.0,100.0,100.0,381.29999999999995,13.3,152.66666666666666,-20.2,24.5,48.0,221.65217391304347,-28.7,17.6,56.0,109.12765957446808,88.2,10.4,72.5,18.9,262.8720588235294,386.33181818181816,9.116766467065869,5.1,8.2,109.9,100.0,100.0,7.0,0
Azerbaijan,73.6,68.34255319148937,100.0,2.3,0.2,45.734939759036145,20.2,9.5,3.9,5.5,2.3,79.0,49.0,44.0,0.1,82.7,10.6,14.1,2.9,2.9,22.1,24.2,0.23,0.2,98.9,100.0,100.0,100.0,73.2,95.5,2.1,2.3,8.2,7.0,57.0,58.0,29.8,447.0,813.2,986.9,145.89054054054054,14.1,40.2,36.3,148.2,148.2,4.993181818181818,7.268750000000001,1.1,1.018181818181818,3.460227272727273,3.9755681818181823,3.805113636363636,3.2987951807228924,8.0,-310.0,2.8,11.2,339.6545454545454,405.780487804878,3.1,2.6,7.6,3.9,1.2,0.2,8.1,12.0,147.5,84.0,19.0,28.303030303030305,4.0,99.3,81.6,381.29999999999995,-27.6,152.66666666666666,74.2,58.0,32.1,221.65217391304347,0.3,5.4,80.0,109.12765957446808,354.9,6.9,20.0,78.9,268.2,386.33181818181816,0.4,3.4,7.0,67.6,84.20245398773007,89.30934579439251,63.0,0
"Bahamas, The",79.07499999999999,68.34255319148937,100.0,1.2,0.8568,45.734939759036145,17.7,7.1,6.5,8.6,37.7,85.0,18.0,17.0,0.4,10.0,51.4,51.4,0.4,0.4,0.7,0.8,0.02,0.02,100.0,100.0,100.0,100.0,100.0,100.0,0.0,1.2,0.0,0.0,1.0,1.0,10.086792452830188,480.17894736842106,0.1,0.1,145.89054054054054,144.0,3.7,2.7,163.3,194.94313725490193,52.9,20.3,1.1714285714285713,1.0,8.5,51.9,11.8,3.2987951807228924,-29.218045112781954,-16.47142857142857,12.3,9.64963503649635,339.6545454545454,405.780487804878,3.0,2.135,7.6,6.5,0.2,0.2,0.7,24.320143884892087,48.766666666666666,48.22330097087379,19.7984496124031,28.303030303030305,55.86915887850467,94.19885057471264,80.00595238095238,381.29999999999995,35.4,227.0,60.2,4.8,2.0,131.0,119.4,19.6,16.1,772.0,-89.3,6.4,49.9,27.7,262.8720588235294,386.33181818181816,0.4,1.9,3.1,37.93714285714286,84.20245398773007,93.0,14.0,0
Bahrain,99.0,96.0,100.0,0.0,0.1,45.734939759036145,69.9,20.4,23.5,1.7,0.5,95.9,12.0,11.0,4.0,0.8,0.5,0.8,4.5,3.9,2.8,2.1,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,13.0,11.0,10.086792452830188,83.0,278.22336448598134,260.49223300970874,0.7,141.3229299363057,1.5,1.1,75.0,75.0,34.0,34.3,1.1714285714285713,21.3,9.9,12.7,24.3,3.2987951807228924,-173.0,-62.0,3.3,4.1,339.6545454545454,405.780487804878,2.4,2.2,25.1,23.5,0.7,0.5,0.0,24.320143884892087,48.766666666666666,48.22330097087379,19.7984496124031,28.303030303030305,55.86915887850467,94.19885057471264,80.00595238095238,381.29999999999995,92.7,152.66666666666666,87.7,92.1,0.5,131.0,80.8,23.7,11.3,109.12765957446808,-87.4,4.9,61.4,28.0,262.8720588235294,386.33181818181816,0.0,0.9,2.5,14.4,84.20245398773007,88.0,11.0,0
Bangladesh,55.4,68.34255319148937,88.0,34.7,0.8568,55.1,60.1,24.5,0.5,4.9,2.5,15.0,76.0,63.0,-0.2,130.2,11.3,11.0,3.5,6.4,64.1,59.6,0.07,0.05,32.0,75.9,94.0,66.0,7.2,17.7,59.0,34.7,4.7,1.2,72.0,71.0,59.7,480.17894736842106,278.22336448598134,260.49223300970874,392.4,289.4,59.8,42.7,1.2,1.2,9.6,8.9,4.6,0.6,7.1,9.0,1.8,4.0,16.0,17.0,10.7,13.4,339.6545454545454,405.780487804878,1.2,2.1,0.2,0.5,0.1,0.2,105.0,35.9,34.2,88.0,2.0,10.0,3.0,97.5,96.8,381.29999999999995,44.7,152.66666666666666,20.7,11.5,68.9,221.65217391304347,64.7,7.6,82.9,109.12765957446808,-87.0,2.4,18.0,71.9,34.2,90.6,7.6,0.5,0.3,2.9,20.2,89.30934579439251,221.0,1
Barbados,79.07499999999999,68.34255319148937,100.0,2.8,0.8568,45.734939759036145,23.5,6.700680272108843,4.5,0.0,10.9,81.8,66.0,69.0,0.2,0.4,14.7,14.7,2.3,2.3,34.9,16.3,0.06,0.02,100.0,100.0,100.0,100.0,97.4,99.4,13.6,2.8,0.0,0.0,40.0,23.0,10.086792452830188,480.17894736842106,0.1,0.0,145.89054054054054,113.8,3.5,2.9,207.31297709923663,194.94313725490193,0.7,0.7,1.1714285714285713,0.5,0.2,0.2,0.5,4.0,-29.218045112781954,-16.47142857142857,12.0,9.64963503649635,339.6545454545454,405.780487804878,3.3,2.135,4.1,4.5,0.3,0.3,0.1,0.1,87.5,48.22330097087379,8.0,28.303030303030305,55.86915887850467,94.19885057471264,80.00595238095238,381.29999999999995,28.4,109.0,-15.0,8.4,18.5,59.0,-16.1,13.0,43.4,47.0,-128.6,7.0,45.9,45.2,262.8720588235294,386.33181818181816,1.7,2.5,6.0,17.2,99.0,100.0,0.0,0
Belarus,94.5,80.5,100.0,6.8,0.5,45.734939759036145,18.9,21.2,6.7,9.4,3.6,74.4,30.0,21.0,-2.3,203.0,40.8,42.6,0.6,0.5,30.2,28.0,0.61,0.6,100.0,100.0,100.0,100.0,93.7,98.2,5.0,6.8,0.1,0.8,44.0,42.0,0.4,618.0,278.22336448598134,260.49223300970874,11.6,146.6,11.1,9.7,118.9,86.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2987951807228924,93.0,87.0,1.9,6.1,339.6545454545454,405.780487804878,2.4,2.3,8.6,6.7,1.1,0.4,34.0,1.5,4.5,32.0,32.0,36.0,42.0,96.0,98.3,381.29999999999995,-40.9,152.66666666666666,-10.9,7.0,53.8,221.65217391304347,-31.0,5.4,71.2,109.12765957446808,-98.7,6.3,61.4,35.8,318.0,386.33181818181816,0.2,4.1,11.4,124.2,100.0,100.0,31.0,0
Belgium,99.5,97.1,100.0,9.2,2.5,45.734939759036145,12.8,12.0,8.3,24.6,2.0,87.7,3.0,2.0,-1.6,30.3,22.0,22.6,0.7,0.8,28.5,28.1,0.08,0.07,100.0,100.0,100.0,100.0,100.0,100.0,1.4,9.2,1.3,20.8,46.0,45.0,10.086792452830188,847.0,310.5,327.5,145.89054054054054,318.5,1.8,1.3,207.31297709923663,194.94313725490193,7.7,11.2,0.0,4.9,1.2,2.8,10.0,3.2987951807228924,73.0,80.0,6.3,9.0,339.6545454545454,405.780487804878,2.2,1.8,10.6,8.3,0.4,0.2,12.0,6.0,50.0,1.0,88.0,12.0,78.0,100.0,100.0,381.29999999999995,-3.3,152.66666666666666,-25.7,14.7,57.9,221.65217391304347,-13.5,8.0,31.3,109.12765957446808,472.5,10.0,84.1,15.9,262.8720588235294,386.33181818181816,0.0,3.3,11.1,89.8,100.0,100.0,9.0,0
Belize,79.07499999999999,68.34255319148937,98.3,35.0,0.8568,10.8,23.1,-0.9,1.4,20.6,33.1,47.1,55.0,54.0,1.7,22.8,64.0,59.7,1.5,1.4,2.8,3.4,0.26,0.21,79.0,97.0,98.0,96.2,78.2,85.4,34.6,35.0,70.1,45.2,7.0,7.0,10.086792452830188,480.17894736842106,23.0,28.9,145.89054054054054,466.2,23.4,15.1,207.31297709923663,194.94313725490193,6.1,20.5,0.8,0.4,7.5,5.7,13.1,3.2987951807228924,-29.218045112781954,-16.47142857142857,8.9,9.64963503649635,312.0,495.0,2.9,2.135,1.7,1.4,0.3,0.2,15.3,24.320143884892087,48.766666666666666,48.22330097087379,19.7984496124031,28.303030303030305,55.86915887850467,98.9,97.2,381.29999999999995,148.1,228.0,34.5,13.4,56.4,200.0,54.3,9.5,72.4,195.0,310.0,6.1,66.3,22.9,303.6,541.4,3.8,1.1,1.7,10.5,96.0,100.0,30.0,0
Benin,79.07499999999999,68.34255319148937,43.1,50.9,0.8568,61.5,38.4,-3.4,0.6,23.5,1.1,20.0,62.0,53.0,1.7,112.8,44.9,37.8,2.4,4.4,21.1,23.9,0.35,0.25,20.7,41.6,70.9,16.4,1.8,6.4,70.3,50.9,2.4,5.6,30.0,33.0,10.086792452830188,480.17894736842106,960.1,260.49223300970874,145.89054054054054,14.7,44.4,42.1,0.8,194.94313725490193,1.0,11.9,0.9,0.1,3.4,0.9,8.4,3.2987951807228924,-7.0,47.0,4.4,4.8,708.0,405.780487804878,0.4,1.5,0.1,0.6,0.1,0.3,10.3,24.320143884892087,48.766666666666666,48.22330097087379,19.7984496124031,28.303030303030305,55.86915887850467,75.7,58.2,381.29999999999995,-28.9,152.66666666666666,36.4,13.4,45.8,221.65217391304347,30.4,2.5,62.6,109.12765957446808,-54.0,3.9,20.5,43.5,30.4,83.5,30.5,0.2,0.6,1.9,85.6,89.30934579439251,56.0,0
Bermuda,79.07499999999999,68.34255319148937,100.0,2.4,0.2,45.734939759036145,11.7,6.700680272108843,8.8,0.0,6.5,98.4,0.0,0.0,0.19162561576354678,0.1,18.5,18.5,4.659375,4.519587628865979,7.4,5.6,0.01,0.0,100.0,100.0,100.0,100.0,55.68989361702128,64.84840425531915,0.0,2.4,0.0,0.0,7.0,6.0,10.086792452830188,480.17894736842106,278.22336448598134,260.49223300970874,145.89054054054054,177.1,31.26096256684492,25.916042780748665,207.31297709923663,194.94313725490193,11.9,11.9,1.1714285714285713,4.5,7.3,7.4,4.5,3.2987951807228924,-29.218045112781954,-16.47142857142857,9.469655172413793,9.64963503649635,502.0,576.0,2.3329113924050633,2.135,8.5,8.8,0.2,0.1,96.0655172413793,24.320143884892087,48.766666666666666,48.22330097087379,19.7984496124031,28.303030303030305,55.86915887850467,99.9,80.00595238095238,632.9,-3.1,31.0,28.6,3.8,4.7,21.0,46.9,16.6,13.5,39.0,-100.0,6.71505376344086,52.91505376344085,32.66182795698925,262.8720588235294,386.33181818181816,9.116766467065869,1.7232804232804235,4.139153439153439,37.93714285714286,84.20245398773007,89.30934579439251,4.0,0
Bhutan,36.2,68.34255319148937,97.7,86.9,0.8568,45.734939759036145,37.2,23.3,1.4,48.0,1.5,48.1,75.0,59.0,0.0,38.1,65.5,72.5,0.5,0.2,2.7,2.6,0.18,0.14,31.2,99.8,99.9,99.7,31.7,52.5,91.4,86.9,100.0,100.0,13.0,14.0,10.086792452830188,480.17894736842106,59.0,52.1,145.89054054054054,13.3,64.3,57.6,11.0,11.0,4.993181818181818,7.268750000000001,0.0,1.018181818181818,3.460227272727273,3.9755681818181823,3.805113636363636,3.2987951807228924,-29.218045112781954,-16.47142857142857,21.4,9.64963503649635,128.0,405.780487804878,2.3,2.135,0.2,1.4,0.1,0.2,78.0,0.3,0.4,94.0,1.0,5.0,4.0,98.0,96.7,381.29999999999995,157.5,152.66666666666666,92.6,36.4,42.8,555.0,210.4,34.4,42.1,-393.0,80.69254658385093,3.5,74.0,20.1,91.3,293.1,4.8,0.4,1.5,2.9,100.0,89.30934579439251,149.0,1
